162,Weather_OWM_ConditionId1
163,Weather_OWM_ConditionId0
164,Weather_OWM_DateTime_h84
165,Weather_OWM_Temp_h42
166,Weather_OWM_Temp_h48
167,Weather_OWM_Temp_h45
168,Weather_OWM_Temp_h51
169,Weather_OWM_Condition_h18
170,Weather_OWM_Condition_h27
171,Weather_OWM_Condition_h24
172,Weather_OWM_Condition_h21
173,Weather_OWM_ConditionId_h57
174,Weather_OWM_Temp_h18
175,Weather_OWM_ConditionId_h63
176,Weather_OWM_ConditionId_h60
177,Weather_OWM_Temp_h24
178,Weather_OWM_DateTime_h60
179,Weather_OWM_DateTime_h63
180,Weather_OWM_Temp_h27
181,Weather_OWM_Condition_h36
182,Weather_OWM_Condition_h33
183,Weather_OWM_Condition_h30
184,Weather_OWM_DateTime_h81
185,Weather_OWM_ConditionId_h81
186,Weather_OWM_Condition_h42
187,Weather_OWM_Condition_h39
188,Weather_OWM_ConditionId_h87
189,Weather_OWM_ConditionId_h84
190,Weather_OWM_DateTime_h27
191,Weather_OWM_DateTime_h57
192,Weather_OWM_DateTime_h30
193,Weather_OWM_DateTime_h48
194,Weather_OWM_DateTime_h45
195,Weather_OWM_DateTime_h42
196,Weather_OWM_DateTime_h39
197,Weather_OWM_DateTime_h66
198,Weather_OWM_DateTime_h54
199,Weather_OWM_DateTime_h51
200,Weather_OWM_Condition_h69
201,Weather_OWM_Condition_h66
202,Weather_OWM_Condition_h72
203,EnphaseSummary_SolarSummary
204,EnphaseSummary_SolarEnergyToday
205,EnphaseSummary_SolarCurrentPower
206,EnphaseSummary_SolarStatus
207,EnphaseSummary_SolarEnergyLifetime
208,WS_Alarm
209,WS_Alarm_Temp
210,WS_Alarm_Humidity
211,WS_PrecipRate
212,WS_Precipitation_Total
213,CS_Temperature
214,CS_Humidity
215,AmbientWeatherSDR_AWWH31Channel1Temperature
216,AmbientWeatherSDR_AWWH31Channel1Humidity
217,AmbientWeatherSDR_AWWH31Channel2Temperature
218,AM_WH31_Temperature
219,Garage_Temperature
220,Garage_Humidity
221,AW_WH31_Ch1_Battery
222,DiningRoomLights_Brightness
223,DiningRoomLights_Signal
224,FamilyRoomLights_Signal
225,FamilyRoomLights_Brightness
226,EcobeeThermostatUpstairs_Info_Name
227,EcobeeThermostatUpstairs_ActualTemperature
228,EcobeeThermostatUpstairs_ActualHumidity
229,EcobeeThermostatUpstairs_HVACMode
230,EcobeeThermostatUpstairs_ThermostatTime
231,EcobeeThermostatUpstairs_Humidity
232,EcobeeThermostatUpstairs_EquipmentStatus
233,EcobeeSensorMasterBedroom_SensorName
234,EcobeeSensorMasterBedroom_SensorTemperature
235,EcobeeSensorMasterBedroom_SensorOccupancy
236,EcobeeSensorMasterBedroom_SensorType
237,EcobeeSensorAnasRoom_SensorOccupancy
238,EcobeeSensorAnasRoom_SensorName
239,EcobeeSensorAnasRoom_SensorTemperature
240,WH31_BonusRoom_Temperature
241,WH31_BonusRoom_Humidity
242,WH31_BonusRoom_Battery
243,WH31_AtticBonusRoom_Temperature
244,WH31_AtticBonusRoom_Humidity
245,WH31_AtticBonusRoom_Battery
246,WH31_AtticEntrance_Temperature
247,WH31_AtticEntrance_Humidity
248,WH31_AtticEntrance_Battery
249,WH31_FamilyRoom_Temperature
250,WH31_FamilyRoom_Humidity
251,WH31_FamilyRoom_WH31_Battery
252,WH31_GuestRoom_Temperature
253,WH31_GuestRoom_Humidity
254,WH31_GuestRoom_WH31_Battery
255,WH31_Kitchen_Temperature
256,WH31_Kitchen_Humidity
257,WH31_Kitchen_WH31_Battery
258,WH31_MusicRoom_Temperature
259,WH31_MusicRoom_Humidity
260,WH31_MusicRoom_Battery
261,MoxaMR451600DI_ExternalGarageDoorDownSensor
262,AcuriteWeatherStation_OutdoorWindDirection
263,AtticFanEntranceMotorCurrent
264,AtticFanOverride
265,AtticFanOverrideState
266,MoxaDigitalOutputMod1_AtticFanOverrideSwitch
267,WS_Temperature_DailyMax
268,WS_Temperature_DailyMin
269,MoxaMR451600DI_WaterMainsUsageGallons
270,WaterMainsDailyUsage
271,WaterMainsMonthlyUsage
272,security_analytics_msg
273,DeckDoorOpenTimer
274,FrontDoorOpenTimer
275,GarageDoorOpenTimer
